building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type
E,140 BAY STATE ROAD,42.35,-71.0998,Residential,0,2.746068724519511,12,inf,inf,Large Dormitory-Style
p,1 UNIVERSITY ROAD,42.3512,-71.11,Academic,0,33.06904424500079,314,inf,inf,
s,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,0,1.7083818393480792,8,inf,inf,
3,808 COMMONWEALTH AVENUE,42.3501,-71.1117,Academic,185,16.386351218446073,237,0.08857487145105986,1.281081081081081,
8,140 BAY STATE ROAD,42.35,-71.0998,Residential,66,5.661800486618005,22,0.08578485585784856,0.3333333333333333,Large Dormitory-Style
3,147 BAY STATE ROAD,42.3505,-71.1001,Academic,19,4.716825061598029,48,0.24825395061042257,2.526315789473684,
3,640 COMMONWEALTH AVENUE,42.3488,-71.1023,Academic,146,17.340883419535103,142,0.11877317410640481,0.9726027397260274,
7,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,130,4.195973632638518,24,0.032276720251065524,0.18461538461538463,
19,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,2.7071387338849338,11,0.05414277467769867,0.22,Large Dormitory-Style
12,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,5.045854657113613,24,0.10091709314227225,0.48,Large Dormitory-Style
2,985 COMMONWEALTH AVENUE,42.3521,-71.1202,Administrative,127,6.836007014353445,49,0.053826826884672795,0.3858267716535433,
2,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,382,24.895999374902328,538,0.0651727732327286,1.4083769633507854,
9,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,205,13.865262967648654,300,0.06763542911048125,1.4634146341463414,
p,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,0,2.041882876204596,9,inf,inf,
1,140 BAY STATE ROAD,42.35,-71.0998,Residential,115,12.152629947297717,109,0.10567504301998015,0.9478260869565217,Large Dormitory-Style
3,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,9.620662460567823,219,0.18864044040329064,4.294117647058823,Large Dormitory-Style
6,512 BEACON STREET,42.3509,-71.0903,Residential,30,4.363643459256947,29,0.14545478197523157,0.9666666666666667,Large Dormitory-Style
3,771 COMMONWEALTH AVENUE,42.351,-71.108,Student Support,109,32.65491602974055,391,0.29958638559394996,3.5871559633027523,
3,677 BEACON STREET,42.3481,-71.0986,Research,37,4.137031352773515,21,0.11181165818306797,0.5675675675675675,
1,25 BUICK STREET,42.3519,-71.1152,Administrative,171,15.28018882290239,96,0.0893578293736982,0.5614035087719298,
1,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,103,22.904759386567953,153,0.22237630472396072,1.4854368932038835,
b,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,0,15.038701560140916,129,inf,inf,
1,100 BAY STATE ROAD,42.3498,-71.0979,Student Support,149,45.77516989022478,522,0.307215905303522,3.5033557046979866,
3,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,64,22.360929853181077,120,0.3493895289559543,1.875,Large Dormitory-Style
10,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,3.269568397951719,22,0.06410918427356312,0.43137254901960786,Large Dormitory-Style
1,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,122,14.669957357322273,154,0.12024555210919896,1.2622950819672132,
5,775 COMMONWEALTH AVENUE,42.3509,-71.109,Student Support,37,4.06989401317674,22,0.10999713549126325,0.5945945945945946,
4,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,80,9.551468748436172,63,0.11939335935545214,0.7875,
3,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,70,20.905563144169875,243,0.2986509020595696,3.4714285714285715,
4,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,64,14.409967148081572,72,0.22515573668877456,1.125,Large Dormitory-Style
1,915 COMMONWEALTH AVENUE,42.3518,-71.1165,Student Support,204,80.63353487686182,353,0.3952624258669697,1.7303921568627452,
3,512 BEACON STREET,42.3509,-71.0903,Residential,30,5.507218818226636,28,0.18357396060755451,0.9333333333333333,Large Dormitory-Style
5,595 COMMONWEALTH AVENUE,42.3496,-71.0997,Academic,241,13.735825040499885,88,0.056995124649377116,0.3651452282157676,
2,285 BABCOCK STREET,42.354,-71.1203,Athletic,917,11.527537372147915,402,0.012570924069954106,0.43838604143947657,
1,2 CUMMINGTON MALL,42.3482,-71.1011,Research,64,5.7707258341933265,49,0.09016759115927073,0.765625,
8,24 CUMMINGTON MALL,42.3483,-71.1017,Research,118,6.985161156739595,31,0.0591962809893186,0.2627118644067797,
1,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,326,53.01517739495388,481,0.1626232435428033,1.4754601226993864,
2,730 COMMONWEALTH AVENUE,42.3496,-71.1069,Research,99,6.17224358974359,39,0.062345894845894846,0.3939393939393939,
2,8 ST. MARY'S STREET,42.3492,-71.1061,Research,145,39.09770461085458,402,0.2696393421438247,2.7724137931034485,
b,512 BEACON STREET,42.3509,-71.0903,Residential,0,3.9103272067913952,27,inf,inf,Large Dormitory-Style
b,111 CUMMINGTON MALL,42.3491,-71.104,Research,0,18.691062523973915,124,inf,inf,
b,277 BABCOCK STREET,42.3535,-71.1206,Residential,0,10.189284761142247,50,inf,inf,Large Dormitory-Style
b,640 COMMONWEALTH AVENUE,42.3488,-71.1023,Academic,0,10.829180300360768,72,inf,inf,
b,236 BAY STATE ROAD,42.3506,-71.1042,Academic,0,9.9287280015031,72,inf,inf,
b,675 - 725 COMMONWEALTH AVENUE,42.3502,-71.1046,Research,0,28.565046695615965,371,inf,inf,
1,808 COMMONWEALTH AVENUE,42.3501,-71.1117,Academic,320,40.57100838004329,342,0.1267844011876353,1.06875,
5,140 BAY STATE ROAD,42.35,-71.0998,Residential,66,1.7189894975872835,9,0.026045295417989143,0.13636363636363635,Large Dormitory-Style
3,141 BAY STATE ROAD,42.3505,-71.0998,Academic,10,6.239514348785872,47,0.6239514348785872,4.7,
1,53 BAY STATE ROAD,42.3502,-71.0951,Academic,20,7.671224802546269,43,0.38356124012731346,2.15,
3,53 BAY STATE ROAD,42.3502,-71.0951,Academic,16,14.735100537407162,82,0.9209437835879476,5.125,
1,67 BAY STATE ROAD,42.3502,-71.0959,Academic,10,1.4726802457161332,9,0.1472680245716133,0.9,
2,100 BAY STATE ROAD,42.3498,-71.0979,Student Support,139,38.28946581622483,285,0.27546378285053835,2.050359712230216,
8,277 BABCOCK STREET,42.3535,-71.1206,Residential,52,8.522304832713754,43,0.16389047755218758,0.8269230769230769,Large Dormitory-Style
3,704 COMMONWEALTH AVENUE,42.3494,-71.1053,Academic,30,4.823906425252363,69,0.16079688084174543,2.3,
2,640 COMMONWEALTH AVENUE,42.3488,-71.1023,Academic,183,22.721210673989614,196,0.12415962116934215,1.0710382513661203,
4,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,134,12.187807068519204,47,0.0909537840934269,0.35074626865671643,
2,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,80,2.1661364439731354,12,0.027076705549664192,0.15,
1,928 COMMONWEALTH AVENUE,42.3509,-71.1175,Academic,43,25.57352214720896,181,0.594733073190906,4.209302325581396,
3,928 COMMONWEALTH AVENUE,42.3509,-71.1175,Academic,69,10.371874044634668,108,0.15031701513963286,1.565217391304348,
2,888 COMMONWEALTH AVENUE,42.3504,-71.1153,Academic,153,16.010062071218556,83,0.10464092857005593,0.5424836601307189,
2,915 COMMONWEALTH AVENUE,42.3518,-71.1165,Student Support,210,21.575636206790314,127,0.1027411247942396,0.6047619047619047,
5,512 BEACON STREET,42.3509,-71.0903,Residential,30,5.475992886781269,29,0.18253309622604227,0.9666666666666667,Large Dormitory-Style
10,512 BEACON STREET,42.3509,-71.0903,Residential,30,2.082309375526006,9,0.06941031251753353,0.3,Large Dormitory-Style
1,820 COMMONWEALTH AVENUE,42.35,-71.1122,Academic,149,10.839427662957075,89,0.07274783666414145,0.5973154362416108,
5,232 BAY STATE ROAD,42.3505,-71.1039,Academic,40,4.558206686930091,42,0.11395516717325227,1.05,
3,619 MEMORIAL DRIVE,42.3532,-71.1078,Athletic,19,6.3349354572919525,71,0.33341765564694487,3.736842105263158,
