building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation
1,617-621 COMMONWEALTH AVENUE,42.3497,-71.1013,Academic,29,9.71585478326486,83,0.3350294752849952,2.862068965517241,,No
3,273 BABCOCK STREET,42.3525,-71.1198,Residential,51,9.620662460567823,219,0.1886404404032906,4.294117647058823,Large Dormitory-Style,Yes
4,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,80,9.551468748436172,63,0.1193933593554521,0.7875,,Yes
-1,100 BAY STATE ROAD,42.3498,-71.0979,Student Support,0,9.535576432889084,75,inf,inf,,Yes
3,2 CUMMINGTON MALL,42.3482,-71.1011,Research,52,9.4673820352473,59,0.1820650391393711,1.1346153846153846,,Yes
1,750 COMMONWEALTH AVENUE,42.3498,-71.108,Academic,81,9.430664830841858,74,0.1164279608745908,0.9135802469135802,,Yes
3,888 COMMONWEALTH AVENUE,42.3504,-71.1153,Academic,142,9.364089929165385,120,0.0659442952758125,0.8450704225352113,,Yes
3,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,85,9.345236749915244,57,0.1099439617637087,0.6705882352941176,,Partial
11,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,9.264161877625924,43,0.1852832375525184,0.86,Large Dormitory-Style,Yes
2,264-270 BAY STATE ROAD,42.3507,-71.1054,Academic,67,9.252578883495143,64,0.1380981922909723,0.9552238805970148,,No
7,8 ST. MARY'S STREET,42.3492,-71.1061,Research,144,9.234964353177746,38,0.0641316968970676,0.2638888888888889,,Yes
1,226 BAY STATE ROAD,42.3504,-71.1037,Academic,19,9.224156381536703,73,0.4854819148177213,3.842105263157895,,No
5,590 COMMONWEALTH AVENUE,42.3484,-71.1002,Research,156,9.205445700928676,68,0.0590092673136453,0.4358974358974359,,Yes
5,8 ST. MARY'S STREET,42.3492,-71.1061,Research,156,9.11653519106649,41,0.0584393281478621,0.2628205128205128,,Yes
8,575 COMMONWEALTH AVENUE,42.3495,-71.0987,Residential,100,9.086981383823623,90,0.0908698138382362,0.9,Large Dormitory-Style,Yes
5,855 COMMONWEALTH AVENUE,42.3514,-71.1139,Academic,145,8.763582966226139,73,0.0604385032153526,0.503448275862069,,Yes
4,2 SILBER WAY,42.3497,-71.1009,Academic,88,8.761973261127094,74,0.0995678779673533,0.8409090909090909,,Yes
1,925 COMMONWEALTH AVENUE,42.3522,-71.1177,Athletic,0,8.741416309012875,161,inf,inf,,Yes
6,100 BAY STATE ROAD,42.3498,-71.0979,Student Support,92,8.6834662110858,82,0.0943855022944108,0.8913043478260869,,Yes
5,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,92,8.628395936687928,54,0.0937869123553035,0.5869565217391305,,Yes
1,96-100 CUMMINGTON MALL,42.3489,-71.1048,Academic,56,8.61335897625564,66,0.1538099817188507,1.1785714285714286,,Yes
14,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,8.469818144771025,38,0.1693963628954205,0.76,Large Dormitory-Style,Yes
6,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,73,8.442961165048544,61,0.1156570022609389,0.8356164383561644,,Partial
2,213 BAY STATE ROAD,42.3508,-71.1031,Student Support,80,8.441357828491514,76,0.1055169728561439,0.95,,Yes
1,700 BEACON STREET,42.3485,-71.0994,Academic,49,8.354697178251893,123,0.170504024045957,2.510204081632653,,Yes
9,8 ST. MARY'S STREET,42.3492,-71.1061,Research,155,8.353603891947254,109,0.0538942186577242,0.7032258064516129,,Yes
1,730 COMMONWEALTH AVENUE,42.3496,-71.1069,Research,117,8.25041272699985,85,0.0705163480940158,0.7264957264957265,,Yes
6,275 BABCOCK STREET,42.3528,-71.1204,Residential,53,8.171831637372803,38,0.1541855025919396,0.7169811320754716,Large Dormitory-Style,Yes
1,64-86 CUMMINGTON MALL,42.3487,-71.104,Academic,119,8.11771886989885,55,0.0682161249571332,0.4621848739495798,,Yes
5,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,137,8.04164711403097,35,0.0586981541170143,0.2554744525547445,,Yes
3,264-270 BAY STATE ROAD,42.3507,-71.1054,Academic,75,8.030865705676359,53,0.1070782094090181,0.7066666666666667,,No
1,15 ST. MARY'S STREET,42.3494,-71.1075,Research,138,8.03012111637704,67,0.0581892834520075,0.4855072463768116,,Yes
